"Station Name","Station Number","River","Aquatic Model Index","Water Body Id","Water Code","Station Type","Quadi","Township","Range","Section","Quarter Section","Grid","Station Quad","Rw Watershed","Wqcc Watershed","Hydro Unit8","Eco Region","Elevation","Watershed Report","Longitude","Latitude","County","State","Near City","Move","Description","Utmx","Utmy","Region","Comments","Usgs","State Engineering"
"Lost Souls",249,"Purgatoire","AR0119","COARLA07","31461 - PURGATOIRE R #1","Sandy Substrate","Y-48","23S","52W","23",,"A2","Las Animas","Arkansas","Lower Arkansas","11020010","SW Tablelands Grasslands",3882,"Lower Arkansas Tribs",-103.2009652,38.03391091,"Bent","Colorado","Las Animas","NAD83","From town of Las Animas, travel approx 2.25 mi south on state hwy 101 to bridge over Purgatoire River.",657884,4211105,"13N",,"Yes","No"
"Hwy 50 Br",250,"Arkansas","AR0209","COARLA01B","28966 - ARKANSAS R #2A","Sandy Substrate","Y-48","23S","52W","3",,"A2","Las Animas","Arkansas","Lower Arkansas","11020009","SW Tablelands Grasslands",3890,"Middle Arkansas (Pueblo Res to Fowler)",-103.2200085,38.08124223,"Bent","Colorado","Las Animas","NAD83","From town limit of Las Animas, travel approx 1/2 mi north on US Hwy 50 to bridge over Arkansas River.",656112,4216325,"13N",,"Yes","No"
"Tunnel #1",253,"Clear Cr","SP7587","COSPCL11","14768 - CLEAR CREEK #4B","Biological, Chemical, Physical","L-31","3S","70W","32","NWSE","F3","Evergreen","South Platte","Clear Creek","10190004","W High Plains Moderate Relief Rangeland",5767,"Clear Cr",-105.2499,39.7471,"Jefferson","Colorado","Golden","NAD83","From junction of state hwys 58 & 93 and US Hwy 6 in the city of Golden, take Hwy 6 west 1 mi.  Turn left onto dirt road just before Tunnel No. 1; station is at creek's edge. ",478591,4399722,"13N","3/27/15 - BS moved from 479751/4400545 to put on water per description.
Aq. Index > 200m","Yes","No"
"Colburn",255,"Muddy Cr","CR0086","COUCUC07B","21321 - MUDDY CREEK #1A","Chemical","I-22","1N","80W","7","SWSE","A4","Kremmling","Colorado","Upper Colorado","14010001","S Rockies Low to Middle Elevation Semi-Desert Shru",7340,"Upper Colorado (Source to Eagle conf)",-106.3990289,40.06066391,"Grand","Colorado","Kremmling","NAD83","From junction of US Hwy 40 & state hwy 9 in town of Kremmling, travel 0.6 mi west on 40 to bridge over Muddy Creek.",380683,4435428,"13N",,"Yes","No"
"Gauging Station",260,"Surface Cr","GU0010","COGULG07B","43478 - SURFACE CREEK","Chemical","R-10","13S","94W","20",,"H8","Cedaredge","Gunnison","Lower Gunnison","14020005","CO Plateaus Saltdeserts",6220,"Gunnison Tribs",-107.9212431,38.90159438,"Delta","Colorado","Cedaredge","NAD83","Sample at Surface Cr gaging station on east side of the town Cedaredge.",246671,4309914,"13N","One year NFRIA, metals only for 303d M&E Grant, 2004-2005","Yes","No"
"Gauging Station",262,"Tongue Cr","GU0012","COGULG07B","43656 - TONGUE CREEK","Chemical","S-10","14S","95W","34",,"G8","Orchard City","Gunnison","North Fork Gunnison","14020005","CO Plateaus Desert Shrublands",5030,"Gunnison (main stem)",-107.995277,38.7877898,"Delta","Colorado","Cedaredge","NAD83","From the town of Delta, travel east 3.5 mi on state hwy 92 to junction with state hwy 65.  Turn north and continue approx 2 mi to county Rd J.25, turn left and proceed to bridge over Tongue Creek.",239835,4297490,"13N","One year NFRIA, metals only for 303d M&E Grant, 2004-2005.  6/23/14 - BS moved fr COGUNF06A.","Yes","No"
"Blw Conf N Tenmile Cr",281,"Ten Mile Cr","CR0088","COUCBL14","22311 - TENMILE CREEK #1","Chemical, Physical",,"5S","78W","34","NESW","E1","Frisco","Colorado","Blue","14010002","S Rockies Low to Middle Elevation Semi-Desert Shru",8500,"Upper Colorado (Source to Eagle conf)",-106.1096807,39.57628716,"Summit","Colorado","Frisco","NAD83",,404694,4381319,"13N",,"Yes","No"
"Abv Conf E Fk Ark R",284,"California G","","COARUA06","33631 - CALIFORNIA GULCH (CREEK)","Chemical",,,,"32","NESW","B3","Leadville South","Arkansas","Upper Arkansas","11020001","S Rockies Cool and Moist Forests of the Middle to",9549,"Upper Arkansas (Source to Pueblo Res)",-106.3543,39.2226,"Lake","Colorado","Leadville","NAD83",,383097,4342355,"13N","Used to be sta3538 - combined with and changed to sta284","Yes","No"
"Hwy 141 Br",290,"Dolores","DO0010","COGULD02","39760 - DOLORES RIVER #1","Chemical","T-2","51N","19W","15","SWSW","F8","Gateway","Dolores","Lower Dolores","14030004","CO Plateaus Wooded Uplands",4560,"San Miguel Dolores Tribs",-108.9797332,38.68049263,"Mesa","Colorado","Gateway","NAD83","Station is at state hwy 141 bridge over Dolores River in the town of Gateway.",153782,4288843,"13N",,"Yes","No"
"Jackson Outlet",299,"Jackson Outlet","SP1163","COSPLS03","12651 - SOUTH PLATTE R #12","Sandy Substrate",,"5N","60W","27","SENW","C1","Orchard","South Platte","Lower South Platte","10190003","W High Plains Rolling Sand Plains",4438,"Lower S Platte (blw Brighton)",-104.0776935,40.37068339,"Morgan","Colorado","Goodrich","NAD83",,578301,4469309,"13N","5/30/13 - BS moved from WBID COSPLS02B.","Yes","No"
"Arkansas 1",310,"E Fk Arkansas","AR0490","COARUA02A","29086 - ARKANSAS R, EAST FK","Chemical",,,,"21","NWNW","C3","Leadville North","Arkansas","Upper Arkansas","11020001","S Rockies Warm and Dry Forests of the Middle to Lo",9736,"Upper Arkansas (Source to Pueblo Res)",-106.3435,39.257,"Lake","Colorado","Leadville","NAD83",,384084,4346153,"13N",,"Yes","No"
"Tennessee Cr 1",312,"Tennessee Cr",,"COARUA05A","31031 - TENNESSEE CR","Chemical",,,,"16","SWNE","C3","Leadville North","Arkansas","Upper Arkansas","11020001","S Rockies Warm and Dry Forests of the Middle to Lo",9780,"Upper Arkansas (Source to Pueblo Res)",-106.3407148,39.26236755,"Lake","Colorado","Leadville","NAD83",,384333,4346749,"13N",,"Yes","No"
"Lou Kroekel Tap",316,"Tap",,"COSPCL14A",,"Chemical",,,,,,,,"South Platte","Clear Creek","10190004","S Rockies Low to Middle Elevation Semi-Desert Shru",0,"Clear Cr",-9,-9,"Jefferson","Colorado","Golden","Nolatlongs",,-9,-9,"13N","No lat/long available","Yes","Yes"
"Cement Cr",323,"Cement Cr","SJ0024","COSJAF07","42898 - CEMENT CREEK","Chemical","AA-12","41N","7W","17","NWNE","G6","Silverton","San Juan","Animas, Florida","14080104","S Rockies High Elevation Tundra",9320,"Animas",-107.6618,37.8159,"San Juan","Colorado","Silverton","NAD83","Traveling north on Greene St (also State Hwy 110) in Silverton turn left at the San Juan County Historical Society Museum (end of town just about), sample upstream of bridge.",265698,4188731,"13N","3/21/14 - BS moved fr 4188730/265720 to put on water.
Aq. Index NULL","Yes","No"
"Bear Canyon",325,"Bear Cr","AR4724","COARFO03B","29157 - BEAR CREEK","Biological, Chemical, Physical",,"14S","67W","21","NESW","G8","Manitou Springs","Arkansas","Fountain Creek","11020003","S Rockies Cool and Moist Forests of the Middle to",6731,"Fountain Cr",-104.8937,38.8189,"El Paso","Colorado","Manitou Springs","NAD83","From I-25 and Hwy 24 in Colorado Springs, travel west on Hwy 24. Turn south (left) on 26th street to intersection of Gold Camp Road. Here 26th becomes Bear Creek Road. Continue on Bear Creek roadto point where road ends. A paved road continues at an extreme left. This is Gold Camp Road. At this intersection follow gravel road south. This is High Drive. Park here. Walk approximately 100 yards up High Drive to trail head. You can see USGS station from here. Sample at gauging station.",509272,4296621,"13N","2/3/14 - BS coord mods fr 4296621/509272.  6/7/16 - BS moved fr WBID COARFO01A.
Aq. Index > 200m","Yes","No"
"At Guage Station",328,"Dallas Cr",,"COGUUN11","46741 - DALLAS CREEK","Chemical, Physical",,,,"5","SESE","B6","Dallas","Gunnison","Uncompahgre","14020006","S Rockies Warm and Dry Forests of the Middle to Lo",6990,"Uncompahgre",-107.7583,38.1772,"Ouray","Colorado","Ridgeway","NAD83","N of Ridgeway, CO off Hwy 550 is CR above the Res, turn left and sample Dallas Cr",258389.09,4229075.96,"13N",,"Yes","No"
"Marshall",380,"Poncha Cr","AR3632","COARUA13","30558 - PONCHA CREEK","Chemical, Physical",,"48N","8E","7","SWSW","D1","Poncha Pass","Arkansas","Upper Arkansas","11020001","S Rockies Low to Middle Elevation Semi-Desert Shru",8699,"Upper Arkansas (Source to Pueblo Res)",-106.128584,38.42246,"Chaffee","Colorado","Poncha Springs","NAD83","From Poncha Spgs crossroads Hwy 285 and Hwy 50, go S on Hwy 285 toward Villa Grove, Up Poncha pass about 5 mi, turn right on Marshall Pass Rd and drive about 3 mi to historical marker of Marshall.  Sample below conf Silver and Poncha Creeks.",401483,4253291,"13N","AQ Index <400 Feet","Yes","No"
"Blw Conf S Fk",381,"Arkansas",,"COARUA03","32994 - ARKANSAS R #6D","Chemical, Physical",,"49N","9E","9","NENW","E8","Salida East","Arkansas","Upper Arkansas","11020001","S Rockies Low to Middle Elevation Semi-Desert Shru",7001,"Upper Arkansas (Source to Pueblo Res)",-105.9763,38.5196,"Chaffee","Colorado","Salida","NAD83","From Downtown Salida 1st & F Streets, S on Hwy 197 or 1st to left on CR 105, Grays Video on left, CR 105 to first Br, Park on right near guage sta. PRIVATE LAND, have permission",414888,4263922,"13N","6/21/16 - BS moved fr 414937/4263930 to put on water.","Yes","No"
"@ Twin Spruce Headgate",383,"Dolores",,"COSJDO05A","39796 - DOLORES RIVER #4","Chemical",,,,,,"D4","Dolores East","Dolores","Dolores","14030002","NM AZ Shrublands",7320,"San Miguel Dolores Tribs",-108.36941,37.56653,"Montezuma","Colorado","Dolores","NAD83","At headgate off Dolores River to ponds, now called Hammond and Clark Ditch and is a SWA",202398.9,4163057,"13N","Aq. Index NULL","Yes","Yes"
"Twin Spruce Pond",384,"Dolores",,"COSJDO05A","39796 - DOLORES RIVER #4","Chemical",,,,,,"D4","Dolores East","Dolores","Dolores","14030002","NM AZ Shrublands",7318,"San Miguel Dolores Tribs",-108.369599,37.564455,"Montezuma","Colorado","Dolores","NAD83","now a SWA, Hammond and Clark Ditches, this is the first pond",732322.48,4160744.6,"13N","Estimated sample location","Yes","Yes"
"At La Boca",396,"Los Pinos","SJ0023","COSJPN02D","41272 - LOS PINOS RIVER #1","Biological",,"32N","7W","22","NWNE","A5","Tiffany","San Juan","Los Pinos","14080101","S Rockies Warm and Dry Forests of the Middle to Lo",6161,"Uncompahgre",-107.5994,37.0094,"La Plata","Colorado","Ignacio","NAD83","From Ignacio, take Hwy 172 S toi entrance of La Boca Ranch.  Travel through ranch to just past S gate where bridge crosses river.  Sample just downstream of bridge/gauge.",268722,4099077,"13N","WQ Index <400 Feet
2013 WQCD bug station; 1/23/14 - BS mods.","Yes","No"
"Balzac",400,"S Platte","SP1084","COSPLS01","12651 - SOUTH PLATTE R #12","Sandy Substrate","G-45","5N","55W","33",,"C5","Brush East","South Platte","Lower South Platte","10190012","W High Plains Flat to Rolling Cropland",4135,"Lower S Platte (blw Brighton)",-103.5285359,40.3572338,"Morgan","Colorado","Brush","NAD83","Take I-76 to exit 91.  Travel northeast on US Hwy 6 approx 4 1/4 mi to road going north across railroad tracks (just before town of Hillrose); turn north and continue until reaching S Platte River- sample at bridge.  ",624949,4468447,"13N",,"Yes","No"
"BW Cty Line",415,"St Vrain","SP1085","COSPSV03","12156 - ST VRAIN CR","Chemical","H-33","2N","68W","7",,"B1","Longmont","South Platte","St Vrain Creek","10190005","W High Plains Flat to Rolling Cropland",4900,"Boulder and Saint Vrain Tribs",-105.0553011,40.15202325,"Boulder","Colorado","Longmont","NAD83","From US Hwy 287 within town of Longmont, turn east on 3rd Ave (state hwy 119).  Follow 119 approx 2.5 mi to County Line Rd.  Turn right and continue about 1/2 mi to bridge over St Vrain.",495290,4444632,"13N",,"Yes","No"
"Wilson",419,"Big Thompson","","COSPBT04A","12346 - THOMPSON R, BIG #2","Chemical","F-33","5N","69W","15",,"D1","Loveland","South Platte","Big Thompson","10190006","W High Plains Flat to Rolling Cropland",4980,"Big Thompson",-105.11053,40.39808,"Larimer","Colorado","Loveland","NAD83","From US Hwy 287 in the city of Loveland, turn west onto 1st St and travel approx 2.2 mi to Wilson Ave.  Turn right and continue about 0.4 mi to bike trail access on your right; walk north on bike path to footbridge.",490620,4471948,"13N","Aq. Index NULL","Yes","No"
"Bonny Outflow",435,"S Fk Republican","RE0315","COSPRE01","33150 - REPUBLICAN R, S FK #2","Sandy Substrate",,"8S","49W","15","NENW","E2","Bonny Res. South","South Platte","Republican","10250003","W High Plains Moderate Relief Rangeland",3500,"Republican and Arikaree",-102.8629,39.3574,"Kit Carson","Colorado","Wray","NAD83",,684132,4358612,"13N","Aq. Index > 200m","Yes","No"
"Hwy 109",438,"Arkansas","AR0211","COARLA01B","28966 - ARKANSAS R #2A","Sandy Substrate","Z-45","24S","55W","2",,"H5","La Junta","Arkansas","Lower Arkansas","11020005","SW Tablelands Grasslands",4054,"Middle Arkansas (Pueblo Res to Fowler)",-103.5327507,37.9914324,"Otero","Colorado","La Junta","NAD83","From US Hwy 50 within the town La Junta, turn north on state hwy 109.  Proceed 1/4 mi to bridge over Arkansas River; sample at gaging station adjacent to bridge.",628839,4205880,"13N","AQ Index <400 Feet","Yes","No"
"Ryan's Pond",441,"Arkansas","AR0429","COARLA01B","81618 - RYAN POND, WEST","Sandy Substrate",,,,,,"A6","Rocky Ford","Arkansas","Lower Arkansas","11020005","SW Tablelands Grasslands",4178,"Middle Arkansas (Pueblo Res to Fowler)",-103.685238,38.06441516,"Otero","Colorado","Rocky Ford","NAD83","From the intersection of 12th St (Hwy 71 South) and Hwy 50 (Elm St) go north on 12th until you come to end of street.  Veer to right (east) and now on Hwy 266. Follow 266 east approx 3 miles until bridge crossing Arkansas.  Sample here.",615334,4213778,"13N",,"Yes","No"
"Air Force Acad",452,"W Monument C","AR0549","COARFO03A","32463 - MONUMENT CREEK, WEST","Chemical","R-35","12S","67W","36",,"H7","Pikeview","Arkansas","Fountain Creek","11020003","S Rockies Warm and Dry Forests of the Middle to Lo",6460,"Fountain Cr",-104.8456295,38.96392821,"El Paso","Colorado","Monument","NAD83","From junction of I-25 & US Hwy 85/87 (Nevada Ave) in the city of Colorado Spgs, travel north approx 2.5 mi on I-25 to South Gate Blvd.  Follow South Gate northwest another 2.5 mi to Stadium Dr and turn left.  After road curves to the right and becomes Pine Dr, take first left and proceed to Air Acad HS.  Walk south from HS to nature trail, follow this trail to stream.",513374,4312785,"13N","Aq. Index > 200m","Yes","No"
"Gagliardi",460,"Purgatoire","AR0554","COARLA07","31461 - PURGATOIRE R #1","Sandy Substrate","FF-38","32S","63W","24",,"B4","Trinidad East","Arkansas","Lower Arkansas","11020010","SW Tablelands Grasslands",5758,"Lower Arkansas Tribs",-104.4054025,37.24783765,"Las Animas","Colorado","Hoehne","NAD83","From the town Trinidad, travel 8.9 mi northeast on US Hwy 350 to county Rd 36.  Turn left and continue approx 1.5 mi to bridge over Purgatoire River.",552733,4122532,"13N",,"Yes","No"
"Howardsville",467,"Animas","SJ2762","COSJAF03A","38011 - ANIMAS RIVER #4","Biological, Chemical, Physical",,"41N","7W","2","SESE","G5","Howardsville","San Juan","Animas, Florida","14080104","S Rockies Cool and Moist Forests of the Middle to",9626,"Animas",-107.6002,37.8326,"San Juan","Colorado","Howardsville","NAD83","Take Hwy 586 S from Howardsville and site is located just below the gauge which is below confluence of Cunningham Cr, and a little below the cabin built on the edge of the avalanch zone from Brendel",271174,4190426,"13N","1/16/14 - BS added metadata.","Yes","No"
"Hwy 50",477,"Huerfano","AR0085","COARMA12","30128 - HUERFANO R #1","Sandy Substrate","X-39","21S","61W","18",,"B3","Avondale","Arkansas","Middle Arkansas","11020006","SW Tablelands Grasslands",4467,"Middle Arkansas (Pueblo Res to Fowler)",-104.2615427,38.22546454,"Pueblo","Colorado","Fowler","NAD83","Station is located at junction of US Hwy 50 & state hwy 209 (south of the town Boone), under Hwy 50 bridge.",564636,4231089,"13N",,"Yes","No"
"Nepesta",478,"Arkansas","AR0561","COARLA01B","28968 - ARKANSAS R #2B","Sandy Substrate","X-40","21S","60W","32",,"B2","Nepesta","Arkansas","Lower Arkansas","11020005","SW Tablelands Grasslands",4372,"Middle Arkansas (Pueblo Res to Fowler)",-104.1392076,38.17888446,"Pueblo","Colorado","Fowler","NAD83","From town of Fowler, travel approx 7.2 mi west on US Hwy 50 to county Rd 613.  Turn right and follow 613 about 1 mi to bridge over Arkansas River.",575392,4226013,"13N",,"Yes","No"
"Hwy 50 at Lamar",481,"Arkansas","AR0004","COARLA01C","28957 - ARKANSAS R #1","Sandy Substrate","Y-53","22S","46W","30",,"A5","Lamar East","Arkansas","Lower Arkansas","11020009","SW Tablelands Grasslands",3604,"Lower Arkansas",-102.6183685,38.10565615,"Prowers","Colorado","Lamar","NAD83","From junction of US Hwys 50 & 287 within town of Lamar, travel 1.2 mi north on 50/287 to bridge over Arkansas River.",708815,4220217,"13N","Combo with 3423 and 3399","Yes","No"
"Golden Prop. BLW Airport Rd",484,"St Vrain","SP1423","COSPSV03","12156 - ST VRAIN CR","Chemical",,,,,,"B1","Longmont","South Platte","St Vrain Creek","10190005","W High Plains Flat to Rolling Cropland",4560,"Boulder and Saint Vrain Tribs",-105.143309,40.1667865,"Boulder","Colorado","Longmont","NAD83",,487797,4446279,"13N",,"Yes","No"
"@124th Ave (Henderson)",492,"S Platte","SP0631","COSPUS15","12649 - SOUTH PLATTE R # 8","Sandy Substrate",,"1S","67W","34","SENE","H7","Brighton","South Platte","Upper South Platte","10190003","W High Plains Flat to Rolling Cropland",4740,"Middle S Platte (blw Denver to Fort Lupton)",-104.8677254,39.92052766,"Adams","Colorado","Brighton","NAD83",,511304,4418945,"13N","2015 - Dup station data from stations 210 and 211 was added.
Aq. Index > 200m","Yes","No"
"Hwy 50 Bypass",495,"Fountain Cr","AR0562","COARFO02B","32778 - FOUNTAIN CREEK #2","Sandy Substrate","W-37","20S","64W","19",,"C5","Northeast Pueblo","Arkansas","Fountain Creek","11020003","SW Tablelands Grasslands",4695,"Fountain Cr",-104.6020383,38.28790181,"Pueblo","Colorado","Pueblo","NAD83","On I-25 in the city of Pueblo, take Exit 100A (Hwy 50 Bypass).  Drive east to Bonforte Blvd, turn north and continue to Hunter Dr, follow to end of road.  Turn left and follow Chinook Ln to Hwy 50, park on right.  Station is 150 yds upstream.",534803,4237834,"13N",,"Yes","No"
"Fish Cr",497,"Fish Cr","","COSPBT02","13576 - FISH CREEK","Chemical","G-30","5N","72W","29",,"C4","Panorama Peak","South Platte","Big Thompson","10190006","S Rockies High Elevation Tundra",7480,"Big Thompson",-105.4939882,40.36887369,"Larimer","Colorado","Estes Park","NAD83","From junction of US Hwys 34 & 36 in the town of Estes Park, travel 1.35 mi east on 36 to Fish Creek Rd (county Rd 63).  Turn right and continue 0.35 mi to pullout on the right.  Station is at log bridge (there's also a gaging station at this pullout).",458061,4468817,"13N","Aq. Index NULL","Yes","No"
"Red Cr",521,"Lk Fk Gunnison","GU3262","COGUUG29B","40484 - GUNNISON R, LAKE FK #2","Chemical","W-16","47N","3W","29","NESE","C2","Gateview","Gunnison","Upper Gunnison","14020002","CO Plateaus Desert Shrublands",7840,"Gunnison Tribs",-107.2299076,38.29895577,"Gunnison","Colorado","Gunnison","NAD83","From junction of US hwy 50 & state hwy 149 at east end of Blue Mesa Reservoir, travel south on 149 approx 20.2 mi to dirt road on the right (just beyond Gateview).  Follow dirt road 3/4 mi to gaging station.",305006,4241338,"13N","AQ Index <400 Feet
3/17/16 - BS moved fr WBID COGUUG29A.","Yes","No"
"Gauging Station",525,"Booth Cr","CR0092","COUCEA06","23806 - BOOTH CREEK","Chemical","L-23","5S","80W","2","SWNW","F3","Vail East","Colorado","Eagle","14010003","S Rockies Warm and Dry Forests of the Middle to Lo",8413,"Eagle",-106.3216532,39.65041977,"Eagle","Colorado","Vail","NAD83","Depart from I-70 in the town of Vail at Exit 180, and head west on N Frontage Rd.  After approx 2/3 mi, turn right onto Katsos Ranch Rd and proceed to Vail Mtn Sch.  Sample at gaging station across street from school parking lot.",386609,4389793,"13N",,"Yes","No"
"Mesa Street Pk",532,"Montrose Arroyo","GU0026","COGUUN12","45717 - MONTROSE ARROYO","Chemical",,"49N","9W","27","SWSE","D7","Montrose East","Gunnison","Uncompahgre","14020006","CO Plateaus Saltdeserts",5827,"Uncompahgre",-107.8668,38.4755,"Montrose","Colorado","Montrose","NAD83","From the intersection of Townsend and South Ninth Street in Montrose: head east on South 9th street. Go through stop sign at Park Avenue and continue one more block. Passage Charter School will be on left. Park in PC lot. Walk north on sidewalk through about 200 feet to intersection with another sidewalk leading in from West. To sample, climb down steep bank to arroyo here. ",249909,4262464,"13N","3/22/16 - BS moved fr 249895/4262265 to put on arroyo per Desc, and moved fr WBID COGUUN10.
Aq. Index > 200m","Yes","Yes"
"Redlands Dam",535,"Gunnison","GU4188","COGULG02","20569 - GUNNISON R #1A","Chemical","Q-5","1S","1W","35",,"A5","Grand Junction","Gunnison","Lower Gunnison","14020005","CO Plateaus Saltdeserts",4555,"Gunnison (main stem)",-108.5632655,39.02898927,"Mesa","Colorado","Grand Junction","NAD83","From US Hwy 6 in city of Grand Junction, turn south on 5th St (US Hwy 50).  Follow US 50 approx 1.1 mi before turning south onto Cannon St; then turn right onto B 3/4 Rd, and left onto 26 7/8 Rd.  Proceed south for about 1.1 mi, then turn right, crossing RR tracks.  You will see Redlands Dam to the southwest, station is just below dam.",191535,4326038,"12N","same as 695 RJ-5, combined","Yes","Yes"
"Williams Fk",536,"Williams Fk","YP0112","COLCLY13B","22804 - WILLIAMS FK Y","Chemical",,,,"31","NENW","E5","Limestone Hill","Green","Yampa","14050001","WY Basin Semiarid to Arid Shrublands",6800,"Yampa and White",-107.6479906,40.43611382,"Moffat","Colorado","Craig","NAD83","From Craig, go South on Hwy 13 for 8 miles. Turn left at sign to Cyprus Coalmine.  Sample on West side of bridge.",275400,4479531,"13N","Aq. Index > 200m","Yes","No"
"Windy Gap",543,"Colorado","CR0093","COUCUC03","21298 - COLORADO RIVER # 9","Chemical","I-25","2N","77W","27",,"A1","Hot Sulphur Springs","Colorado","Upper Colorado","14010001","S Rockies Low to Middle Elevation Semi-Desert Shru",7760,"Upper Colorado (Source to Eagle conf)",-106.0026936,40.10830611,"Grand","Colorado","Hot Sulphur Sp","NAD83","From junction of US Hwys 34 & 40 near town of Granby, travel 3 mi west on 40 to county Rd 578.  Turn left and proceed to first bridge.",414545,4440260,"13N",,"Yes","No"
"Granby",544,"Fraser ","CR0094","COUCUC10C","20343 - FRASER RIVER #1","Chemical","I-26","2N","76W","31",,"A8","Granby","Colorado","Upper Colorado","14010001","S Rockies Low to Middle Elevation Semi-Desert Shru",7901,"Upper Colorado (Source to Eagle conf)",-105.9541,40.0846,"Grand","Colorado","Granby","NAD83","From US Hwy 40 within town of Granby, turn south onto Zero St and proceed 2 blks to county Rd 57.  Turn right and continue 0.6 mi to bridge over Fraser River.",418654,4437579,"13N","AQ Index <400 Feet
3/27/13 - BS chg'd WBID from COUCUC10A to UC10C.","Yes","No"
"Elk Br",547,"Elk Cr","CR0129","COLCLC07A","21197 - ELK CREEK","Chemical","M-13","5S","90W","31",,"E5","New Castle","Colorado","Lower Colorado","14010005","CO Plateaus Desert Shrublands",5520,"Middle Colorado (Eagle R conf to Palisade)",-107.5392361,39.57142183,"Garfield","Colorado","New Castle","NAD83","Depart from I-70 at Exit 105 (New Castle exit).  Turn north, then left at US Hwy 6.  Proceed 1.3 mi to bridge over Elk Creek.",281889,4383271,"13N",,"Yes","No"
"38 Rd",554,"Colorado","CR6288","COLCLC02B","19605 - COLORADO RIVER # 1","Chemical","Q-7","1S","2E","3",,"A3","Palisade","Colorado","Lower Colorado","14010005","CO Plateaus Saltdeserts",4680,"Lower Colorado (Palisade to state line)",-108.3540172,39.09833851,"Mesa","Colorado","Palisade","NAD83","From junction of US Hwy 6 and county Rd 38 in the town Palisade, travel 1/4 mi west on 6 to Brentwood Dr.  Turn left and proceed to end of road; walk down to Colorado River.",209938,4333047,"12N","Aq. Index > 200m","Yes","No"
"Spoon Ranch",561,"Cucharas ",,"COARMA13A","33693 - CUCHARAS RIVER #2","Biological, Chemical, Physical",,"30S","69W","25","NENW","D1","Cuchara","Arkansas","Lower Arkansas","11020006","S Rockies Warm and Dry Forests of the Middle to Lo",7870,"Lower Arkansas Tribs",-105.061249,37.415168,"Huerfano","Colorado","La Veta","NAD83","6.5 mi SW from La Veta on Hwy 12, left bank at Boyd Ranch, guage, Spoon Ranch",494577,4140932,"13N","2/3/16 - BS completed metadata.","Yes","No"
"5th St Br",607,"Yampa","","COUCYA02B","22917 - YAMPA RIVER #4","Chemical",,"6N","84W","17","NENW","D7","Steamboat Springs","Green","Yampa","14050001","WY Basin Semiarid to Arid Shrublands",6714,"Yampa and White",-106.8324,40.4831,"Routt","Colorado","Steamboat Spgs","NAD83",,344688,4482991,"13N","@ Gauge; 4/2/13 - BS fixed coords.
Aq. Index NULL","Yes","No"
"Hwy 89",612,"Arkansas","AR0043","COARLA01C","28957 - ARKANSAS R #1","Sandy Substrate","Y-57","23S","42W","15","SESE","A1","Holly East","Arkansas","Lower Arkansas","11020009","W High Plains Flat to Rolling Cropland",3380,"Lower Arkansas",-102.118542,38.04311543,"Prowers","Colorado","Holly","NAD83","From junction of US Hwy 50 & state hwy 89 in the town Holly, travel approx 2/3 mi south on 89 to bridge over Arkansas River.",752862,4214519,"13N","combine with 3402 and 355","Yes","No"
"Hwy 141",624,"Gunnison","GU0004","COGULG02","40434 - GUNNISON R #1","Chemical","R-6","2S","1E","14",,"H4","Whitewater","Gunnison","Lower Gunnison","14020005","CO Plateaus Saltdeserts",4640,"Gunnison (main stem)",-108.4512932,38.98396958,"Mesa","Colorado","Grand Junction","NAD83","From junction of US Hwy 50 & state hwy 141 near the town of Whitewater, travel approx 1/3 mi west on 141 to bridge over Gunnison River.",201041,4320666,"12N","AQ Index <400 Feet
same as 562","Yes","No"
"Haldi Intake",630,"Left Hand Cr","SP0757","COSPSV05","10968 - LEFT HAND CREEK #1","Chemical, Physical",,"2N","70W","29","SWSW","A3","Boulder","South Platte","St Vrain Creek","10190005","S Rockies Low to Middle Elevation Semi-Desert Shru",5425,"Boulder and Saint Vrain Tribs",-105.2631,40.1188,"Boulder","Colorado","Boulder","NAD83","From city of Boulder, go north 3.3 mi on US Hwy 36 to county Rd 26.  Turn right and follow 26 approx 1.3 mi to 41st St.  Make the mandatory left turn and proceed to first bridge.",477584,4440975,"13N","3/7/15 - BS moved fr WBID COSPSV04C.
Aq. Index > 200m","Yes","No"
"Hwy 9 Above Swan Rd",657,"Blue","CR4658","COUCBL02B","19251 - BLUE RIVER #3","Chemical","M-25","6S","77W","7",,"E1","Frisco","Colorado","Blue","14010002","S Rockies Warm and Dry Forests of the Middle to Lo",9160,"Upper Colorado (Source to Eagle conf)",-106.0423202,39.53939243,"Summit","Colorado","Frisco","NAD83","From town of Breckenridge, travel 4 mi north on state hwy 9 to bridge over Blue River.",410432,4377155,"13N",,"Yes","No"
"Abv Dam Blw WWTP",668,"Big Thompson","SP6900","COSPBT02","12360 - THOMPSON R, BIG #4","Chemical","F-29","5N","72W","30",,"D5","Estes Park","South Platte","Big Thompson","10190006","S Rockies High Elevation Tundra",7504,"Big Thompson",-105.5106179,40.3779908,"Larimer","Colorado","Estes Park","NAD83","From junction of US Hwys 34 & 36 in the town Estes Park, travel 0.15 mi on eastbound 36 before turning left into Visitors Center parking lot.  Sample on Big Thompson River next to parking lot.",456655,4469837,"13N","Aq. Index > 200m","Yes","No"
